Module,Total Public Functions,Documented,Coverage %,Missing Examples,Missing Edge Cases
advisor/daily_recommendations.gleam,1,1,100%,0,0
advisor/recommendations.gleam,4,4,100%,0,0
advisor/weekly_trends.gleam,4,4,100%,0,0
automation/fatsecret_sync.gleam,3,0
0,0%,0,0
automation/macro_optimizer.gleam,5,5,100%,0,0
automation/plan_generator.gleam,1,1,100%,0,0
automation/preferences.gleam,6,6,100%,0,0
automation/rotation.gleam,18,18,100%,0,0
automation/shopping_consolidator.gleam,6,6,100%,0,0
cache.gleam,12,12,100%,0,0
cache/invalidation.gleam,27,27,100%,0,0
cli/cache.gleam,7,7,100%,0,0
cli/commands.gleam,11,11,100%,0,0
cli/components/date_picker.gleam,12,12,100%,0,0
cli/components/date_picker/logic.gleam,12,12,100%,0,0
cli/components/date_picker/update.gleam,2,2,100%,0,0
cli/components/date_picker/view.gleam,1,1,100%,0,0
cli/components/food_search_popup.gleam,10,10,100%,0,0
cli/components/list_view.gleam,19,19,100%,0,0
cli/components/progress_bar.gleam,20,20,100%,0,0
cli/domains/advisor.gleam,8,8,100%,0,0
cli/domains/diary/commands/add.gleam,1,1,100%,0,0
cli/domains/diary/commands/delete.gleam,1,1,100%,0,0
cli/domains/diary/commands/sync.gleam,2,2,100%,0,0
cli/domains/diary/commands/view.gleam,1,1,100%,0,0
cli/domains/diary/formatters.gleam,2,2,100%,0,0
cli/domains/diary/helpers.gleam,2,2,100%,0,0
cli/domains/diary/mod.gleam,1,1,100%,0,0
cli/domains/diary/types.gleam,1,1,100%,0,0
cli/domains/fatsecret.gleam,4,4,100%,0,0
cli/domains/nutrition/commands.gleam,8,8,100%,0,0
cli/domains/nutrition.gleam,14,14,100%,0,0
cli/domains/nutrition/mod.gleam,1,1,100%,0,0
cli/domains/plan.gleam,3,2,66%,0,0
cli/domains/preferences.gleam,1,1,100%,0,0
cli/domains/recipe.gleam,5,5,100%,0,0
cli/domains/scheduler.gleam,10,10,100%,0,0
cli/domains/tandoor.gleam,15,15,100%,0,0
cli/domains/web.gleam,1,1,100%,0,0
cli/formatters.gleam,4,0
0,0%,0,0
cli/glint_commands.gleam,1,1,100%,0,0
cli/model.gleam,12,12,100%,0,0
cli/screens/diary_view.gleam,7,7,100%,0,0
cli/screens/diary_view/model.gleam,5,5,100%,0,0
cli/screens/diary_view/update.gleam,1,1,100%,0,0
cli/screens/exercise/helpers.gleam,6,6,100%,0,0
cli/screens/exercise/model.gleam,1,1,100%,0,0
cli/screens/exercise/update.gleam,1,1,100%,0,0
cli/screens/exercise/view.gleam,1,1,100%,0,0
cli/screens/exercise_view.gleam,3,3,100%,0,0
cli/screens/fatsecret_diary.gleam,4,4,100%,0,0
cli/screens/nutrition_view.gleam,4,4,100%,0,0
cli/screens/recipe_browser/model.gleam,2,2,100%,0,0
cli/screens/recipe_view.gleam,4,4,100%,0,0
cli/screens/scheduler_view.gleam,3,3,100%,0,0
cli/screens/weight/model.gleam,1,1,100%,0,0
